
Wavelength	Gen uRb 0°	Gen uRb 5°	Gen uRb 10°	Gen uRb 15°	Gen uRb 20°	Gen uRb 25°	Gen uRb 30°	Gen uRb 35°	Gen uRb 40°	Gen uRb 45°
l	0	5	10	15	20	25	30	35	40	45	
0.56	0.083557	0.083558	0.083581	0.083683	0.083972	0.084625	0.085923	0.0883	0.092429	0.099357	
0.562	0.083522	0.083523	0.083546	0.083648	0.083936	0.08459	0.085887	0.088264	0.092393	0.099322	
0.564	0.083487	0.083488	0.083511	0.083613	0.083901	0.084555	0.085852	0.088229	0.092358	0.099286	
0.566	0.083452	0.083454	0.083476	0.083578	0.083867	0.08452	0.085818	0.088194	0.092324	0.099252	
0.568	0.083418	0.083419	0.083442	0.083544	0.083833	0.084486	0.085783	0.08816	0.092289	0.099217	
0.57	0.083384	0.083385	0.083408	0.08351	0.083799	0.084452	0.085749	0.088126	0.092255	0.099183	
0.572	0.08335	0.083352	0.083374	0.083476	0.083765	0.084418	0.085716	0.088092	0.092221	0.099149	
0.574	0.083317	0.083319	0.083341	0.083443	0.083732	0.084385	0.085682	0.088059	0.092188	0.099116	
0.576	0.083284	0.083286	0.083308	0.08341	0.083699	0.084352	0.085649	0.088026	0.092155	0.099083	
0.578	0.083251	0.083253	0.083276	0.083377	0.083666	0.084319	0.085617	0.087993	0.092122	0.09905	
0.58	0.083219	0.083221	0.083243	0.083345	0.083634	0.084287	0.085584	0.08796	0.092089	0.099018	
0.582	0.083187	0.083189	0.083211	0.083313	0.083602	0.084255	0.085552	0.087928	0.092057	0.098986	
0.584	0.083155	0.083157	0.08318	0.083281	0.08357	0.084223	0.08552	0.087896	0.092025	0.098954	
0.586	0.083124	0.083125	0.083148	0.08325	0.083539	0.084192	0.085489	0.087865	0.091994	0.098922	
0.588	0.083093	0.083094	0.083117	0.083219	0.083507	0.08416	0.085458	0.087834	0.091962	0.098891	
0.59	0.083062	0.083064	0.083086	0.083188	0.083477	0.08413	0.085427	0.087803	0.091931	0.09886	
0.592	0.083031	0.083033	0.083056	0.083157	0.083446	0.084099	0.085396	0.087772	0.091901	0.098829	
0.594	0.083001	0.083003	0.083025	0.083127	0.083416	0.084069	0.085366	0.087742	0.09187	0.098799	
0.596	0.082971	0.082973	0.082995	0.083097	0.083386	0.084039	0.085336	0.087711	0.09184	0.098769	
0.598	0.082942	0.082943	0.082966	0.083067	0.083356	0.084009	0.085306	0.087682	0.09181	0.098739	
0.6	0.082912	0.082914	0.082936	0.083038	0.083326	0.083979	0.085276	0.087652	0.091781	0.098709	
0.602	0.082883	0.082884	0.082907	0.083009	0.083297	0.08395	0.085247	0.087623	0.091751	0.09868	
0.604	0.082854	0.082855	0.082878	0.08298	0.083268	0.083921	0.085218	0.087594	0.091722	0.098651	
0.606	0.082825	0.082827	0.082849	0.082951	0.08324	0.083893	0.085189	0.087565	0.091694	0.098622	
0.608	0.082797	0.082798	0.082821	0.082923	0.083211	0.083864	0.085161	0.087536	0.091665	0.098594	
0.61	0.082769	0.08277	0.082793	0.082895	0.083183	0.083836	0.085133	0.087508	0.091637	0.098565	
0.612	0.082741	0.082742	0.082765	0.082867	0.083155	0.083808	0.085105	0.08748	0.091609	0.098537	
0.614	0.082713	0.082715	0.082737	0.082839	0.083127	0.08378	0.085077	0.087452	0.091581	0.098509	
0.616	0.082686	0.082687	0.08271	0.082812	0.0831	0.083753	0.085049	0.087425	0.091553	0.098482	
0.618	0.082659	0.08266	0.082683	0.082784	0.083073	0.083726	0.085022	0.087398	0.091526	0.098455	
0.62	0.082632	0.082633	0.082656	0.082757	0.083046	0.083699	0.084995	0.08737	0.091499	0.098427	
0.622	0.082605	0.082606	0.082629	0.082731	0.083019	0.083672	0.084968	0.087344	0.091472	0.098401	
0.624	0.082578	0.08258	0.082603	0.082704	0.082993	0.083645	0.084942	0.087317	0.091445	0.098374	
0.626	0.082552	0.082554	0.082576	0.082678	0.082966	0.083619	0.084915	0.087291	0.091419	0.098348	
0.628	0.082526	0.082528	0.08255	0.082652	0.08294	0.083593	0.084889	0.087264	0.091393	0.098321	
0.63	0.0825	0.082502	0.082524	0.082626	0.082914	0.083567	0.084863	0.087239	0.091367	0.098295	
0.632	0.082475	0.082476	0.082499	0.0826	0.082889	0.083541	0.084838	0.087213	0.091341	0.09827	
0.634	0.082449	0.082451	0.082473	0.082575	0.082863	0.083516	0.084812	0.087187	0.091315	0.098244	
0.636	0.082424	0.082426	0.082448	0.08255	0.082838	0.083491	0.084787	0.087162	0.09129	0.098219	
0.638	0.082399	0.082401	0.082423	0.082525	0.082813	0.083466	0.084762	0.087137	0.091265	0.098194	
0.64	0.082374	0.082376	0.082398	0.0825	0.082788	0.083441	0.084737	0.087112	0.09124	0.098169	
